epoch,pr0,rc0,pr1,rc1,f1,pr0_graph,rc0_graph,pr1_graph,rc1_graph,f1_graph,success_rate,total_loss,loss_n,reg_loss
106,0.96503,0.81082,0.27423,0.70870,0.39544,0.26193,0.44257,0.90725,0.81386,0.85802,55.49020,0.02954,0.02234,0.00720
107,0.96508,0.81132,0.27484,0.70896,0.39611,0.26244,0.44328,0.90738,0.81406,0.85819,56.47059,0.02923,0.02209,0.00714
108,0.96513,0.81180,0.27541,0.70922,0.39675,0.26291,0.44388,0.90749,0.81425,0.85835,56.66667,0.02922,0.02214,0.00708
109,0.96518,0.81226,0.27597,0.70949,0.39737,0.26338,0.44440,0.90759,0.81448,0.85852,56.27451,0.02926,0.02223,0.00702
110,0.96523,0.81271,0.27653,0.70974,0.39798,0.26370,0.44481,0.90767,0.81462,0.85863,55.49020,0.02913,0.02216,0.00697
111,0.96528,0.81317,0.27710,0.71002,0.39862,0.26416,0.44548,0.90778,0.81478,0.85877,57.25490,0.02899,0.02208,0.00691
112,0.96533,0.81362,0.27765,0.71028,0.39923,0.26461,0.44613,0.90790,0.81493,0.85891,54.90196,0.02885,0.02199,0.00686
113,0.96537,0.81407,0.27819,0.71050,0.39982,0.26503,0.44669,0.90800,0.81510,0.85904,56.47059,0.02880,0.02199,0.00681
114,0.96542,0.81448,0.27873,0.71081,0.40043,0.26554,0.44732,0.90812,0.81532,0.85922,57.05882,0.02876,0.02201,0.00676
115,0.96548,0.81488,0.27924,0.71111,0.40101,0.26595,0.44769,0.90820,0.81556,0.85939,57.45098,0.02867,0.02196,0.00670
116,0.96552,0.81530,0.27977,0.71136,0.40159,0.26640,0.44822,0.90830,0.81576,0.85955,55.49020,0.02858,0.02193,0.00665
117,0.96557,0.81569,0.28028,0.71166,0.40216,0.26685,0.44874,0.90840,0.81598,0.85971,55.68627,0.02841,0.02181,0.00660
118,0.96562,0.81609,0.28080,0.71196,0.40274,0.26726,0.44917,0.90848,0.81618,0.85986,56.66667,0.02841,0.02186,0.00655
119,0.96567,0.81650,0.28133,0.71225,0.40334,0.26768,0.44968,0.90858,0.81637,0.86001,56.86275,0.02833,0.02182,0.00651
120,0.96572,0.81690,0.28184,0.71248,0.40390,0.26819,0.45025,0.90869,0.81662,0.86020,57.45098,0.02822,0.02176,0.00646
121,0.96576,0.81728,0.28232,0.71271,0.40443,0.26863,0.45081,0.90879,0.81679,0.86034,56.86275,0.02815,0.02174,0.00641
122,0.96581,0.81763,0.28280,0.71304,0.40498,0.26907,0.45129,0.90889,0.81701,0.86050,56.86275,0.02800,0.02163,0.00637
123,0.96586,0.81802,0.28330,0.71330,0.40553,0.26958,0.45184,0.90899,0.81726,0.86069,57.25490,0.02797,0.02165,0.00632
124,0.96590,0.81841,0.28381,0.71356,0.40609,0.26998,0.45223,0.90907,0.81747,0.86084,56.07843,0.02785,0.02157,0.00628
125,0.96594,0.81875,0.28426,0.71379,0.40659,0.27045,0.45276,0.90918,0.81769,0.86101,57.25490,0.02792,0.02168,0.00623
126,0.96599,0.81910,0.28472,0.71405,0.40711,0.27095,0.45328,0.90928,0.81794,0.86120,55.88235,0.02780,0.02162,0.00619
127,0.96603,0.81945,0.28518,0.71428,0.40762,0.27145,0.45372,0.90938,0.81823,0.86140,56.86275,0.02775,0.02160,0.00615
128,0.96608,0.81979,0.28566,0.71459,0.40815,0.27191,0.45408,0.90946,0.81851,0.86159,56.47059,0.02762,0.02152,0.00610
129,0.96612,0.82015,0.28612,0.71480,0.40865,0.27233,0.45451,0.90954,0.81872,0.86175,55.29412,0.02765,0.02159,0.00606
130,0.96616,0.82047,0.28657,0.71510,0.40916,0.27268,0.45478,0.90961,0.81894,0.86189,54.50980,0.02745,0.02143,0.00602
131,0.96621,0.82079,0.28702,0.71541,0.40968,0.27306,0.45505,0.90967,0.81917,0.86205,55.29412,0.02753,0.02155,0.00598
132,0.96626,0.82109,0.28745,0.71573,0.41016,0.27349,0.45539,0.90975,0.81943,0.86223,56.47059,0.02748,0.02154,0.00594
133,0.96630,0.82143,0.28790,0.71593,0.41065,0.27392,0.45580,0.90983,0.81966,0.86239,56.47059,0.02726,0.02136,0.00590
134,0.96635,0.82171,0.28831,0.71625,0.41113,0.27425,0.45599,0.90988,0.81988,0.86254,57.45098,0.02727,0.02141,0.00587
135,0.96639,0.82201,0.28872,0.71650,0.41159,0.27464,0.45631,0.90995,0.82011,0.86270,56.86275,0.02717,0.02134,0.00583
136,0.96643,0.82229,0.28913,0.71676,0.41204,0.27515,0.45691,0.91007,0.82033,0.86287,56.27451,0.02715,0.02136,0.00579
137,0.96647,0.82258,0.28953,0.71702,0.41249,0.27544,0.45701,0.91010,0.82055,0.86301,56.27451,0.02706,0.02130,0.00576
138,0.96651,0.82286,0.28994,0.71731,0.41295,0.27580,0.45726,0.91016,0.82078,0.86316,56.86275,0.02694,0.02122,0.00572
139,0.96656,0.82312,0.29033,0.71761,0.41340,0.27608,0.45736,0.91020,0.82098,0.86329,56.86275,0.02683,0.02115,0.00568
140,0.96660,0.82341,0.29075,0.71789,0.41387,0.27636,0.45746,0.91023,0.82119,0.86343,56.47059,0.02683,0.02118,0.00565
